Project URL,SHA Detected,Pytest Test Name (PathToFile::TestClass::TestMethod or PathToFile::TestMethod),Category,Status,PR Link,Notes
https://github.com/airbrake/pybrake,9bf82941d8bf521055b258cea91596a11e4eb81f,pybrake/test_celery_integration.py::test_celery_integration,NIO,Accepted,https://github.com/airbrake/pybrake/pull/163,
https://github.com/bpepple/metron-tagger,2be176293218fa101dd84c95c72b8ae646b2731a,tests/test_taggerlib_filesorter.py::test_sort_comic,NIO,Accepted,https://github.com/bpepple/metron-tagger/pull/46,
https://github.com/Burnysc2/python-sc2,78d2ebe5c87aa9abc1e8a505f095ccd5e9dec358,test/test_pickled_data.py::test_bot_ai,NIO,Accepted,https://github.com/BurnySc2/python-sc2/pull/109,
https://github.com/chaosmail/python-fs,2567922ced9387e327e65f3244caff3b7af35684,fs/tests/test_mkdir.py::test_mkdir,NIO,Accepted,https://github.com/chaosmail/python-fs/pull/9,
https://github.com/chaosmail/python-fs,2567922ced9387e327e65f3244caff3b7af35684,fs/tests/test_mkdir.py::test_mkdir_recursive,NIO,Accepted,https://github.com/chaosmail/python-fs/pull/9,
https://github.com/chaosmail/python-fs,2567922ced9387e327e65f3244caff3b7af35684,fs/tests/test_rename.py::test_rename_directory,NIO,Accepted,https://github.com/chaosmail/python-fs/pull/9,
https://github.com/chaosmail/python-fs,2567922ced9387e327e65f3244caff3b7af35684,fs/tests/test_rename.py::test_rename_file,NIO,Accepted,https://github.com/chaosmail/python-fs/pull/9,
https://github.com/chaosmail/python-fs,2567922ced9387e327e65f3244caff3b7af35684,fs/tests/test_touch.py::test_touch_on_new_file,NIO,Accepted,https://github.com/chaosmail/python-fs/pull/9,
https://github.com/chinapandaman/PyPDFForm,fcc1b297005a39900c1f928f602cbc5f38a1d60e,tests/unit/test_font.py::test_register_font_and_is_registered,NIO,Accepted,https://github.com/chinapandaman/PyPDFForm/pull/254,
https://github.com/CitrineInformatics/citrine-python,cf2ec34cad3f1ff44478cad44e4918d7925cba25,tests/_util/test_functions.py::test_shadow_classes_in_module,NIO,Accepted,https://github.com/CitrineInformatics/citrine-python/pull/690,
https://github.com/CyberZHG/keras-layer-normalization,077dc72b6bae1a0551c3b879557478b587be340d,tests/test_layer_normalization.py,ID,Accepted,https://github.com/CyberZHG/keras-layer-normalization/pull/4,RepoArchived
https://github.com/CyberZHG/keras-transformer,52a3fa27d5598eca23be9031fc67a011d42cbefb,tests/test_get_model.py,ID,Accepted,https://github.com/CyberZHG/keras-transformer/pull/42,RepoArchived
https://github.com/daknuett/ljson,1d3dc13001d9d2f61bcfbf9d5c5b16d44fb8076e,test/test_ljson_mem.py::test_unique_check,NIO,Accepted,https://github.com/daknuett/ljson/pull/4,
https://github.com/DanielSank/observed,d99fb99ff2a470a86efb2763685e8e2c021e799f,observed_test.py::TestBasics::test_discard,NIO,Accepted,https://github.com/DanielSank/observed/pull/24,
https://github.com/davidhalter/parso,6ae0efa415c9790000dba70f87e6ece20d6a4101,test/test_cache.py::test_permission_error,NIO,Accepted,https://github.com/davidhalter/parso/pull/195,
https://github.com/didix21/mdutils,2ef859ecc1e4f1a3e24f4150c96f61180bc57ceb,tests/test_mdutils.py::TestMdUtils::test_create_md_file,OD-Vic,Accepted,https://github.com/didix21/mdutils/pull/76,
https://github.com/didix21/mdutils,2ef859ecc1e4f1a3e24f4150c96f61180bc57ceb,tests/test_mdutils.py::TestMdUtils::test_new_checkbox_checked_list,OD-Vic,Accepted,https://github.com/didix21/mdutils/pull/76,
https://github.com/didix21/mdutils,2ef859ecc1e4f1a3e24f4150c96f61180bc57ceb,tests/test_mdutils.py::TestMdUtils::test_new_checkbox_list,OD-Vic,Accepted,https://github.com/didix21/mdutils/pull/76,
https://github.com/didix21/mdutils,2ef859ecc1e4f1a3e24f4150c96f61180bc57ceb,tests/test_mdutils.py::TestMdUtils::test_new_header,OD-Vic,Accepted,https://github.com/didix21/mdutils/pull/76,
https://github.com/didix21/mdutils,2ef859ecc1e4f1a3e24f4150c96f61180bc57ceb,tests/test_mdutils.py::TestMdUtils::test_new_list,OD-Vic,Accepted,https://github.com/didix21/mdutils/pull/76,
https://github.com/didix21/mdutils,2ef859ecc1e4f1a3e24f4150c96f61180bc57ceb,tests/test_mdutils.py::TestMdUtils::test_new_reference_image_markdown_data,OD-Vic,Accepted,https://github.com/didix21/mdutils/pull/76,
https://github.com/didix21/mdutils,2ef859ecc1e4f1a3e24f4150c96f61180bc57ceb,tests/test_mdutils.py::TestMdUtils::test_new_table_of_contents,OD-Vic,Accepted,https://github.com/didix21/mdutils/pull/76,
https://github.com/didix21/mdutils,2ef859ecc1e4f1a3e24f4150c96f61180bc57ceb,tests/test_mdutils.py::TestMdUtils::test_references_placed_in_markdown_file,OD-Vic,Accepted,https://github.com/didix21/mdutils/pull/76,
https://github.com/drtexx/volux,c41339aceeab4295967ea88b2edd05d0d456b2ce,tests/test_operator.py::Test_operator::test_remove_missing_module,NIO,Accepted,https://github.com/DrTexx/Volux/pull/36,
https://github.com/epsagon/epsagon-python,b985d8412848f9a0c98e2f15ae0967a6dba3517f,tests/wrappers/test_python_function.py::test_python_wrapper_python_runner_factory_failed,NIO,Accepted,https://github.com/epsagon/epsagon-python/pull/378,RepoArchived
https://github.com/goodmami/penman,7770dfe14b3d0d197cedc6640f3ff7e3bd695726,tests/test_layout.py::test_rearrange,NOD,Accepted,https://github.com/goodmami/penman/pull/102,
https://github.com/irmen/Pyro5,55bec91891bb9007441024186f3c62b06a3a6870,test_pyro4compat.py::test_compat_config,OD,Accepted,https://github.com/irmen/Pyro5/pull/57,
https://github.com/june3474/skelpy,0e64eccdc5211dbec664e7d3f9d07c6020651b63,tests/test_package.py::test_create_package_dir,NIO,Accepted,https://github.com/june3474/skelpy/pull/2,
https://github.com/june3474/skelpy,0e64eccdc5211dbec664e7d3f9d07c6020651b63,tests/test_package.py::test_write_init,NIO,Accepted,https://github.com/june3474/skelpy/pull/3,
https://github.com/juntossomosmais/regex4ocr,9f96e9c6fe6ffc3e1452b23103fdfa6a0f1dcede,tests/integration/test_type_casting.py::test_validate_types_no_removal,NIO,Accepted,https://github.com/juntossomosmais/regex4ocr/pull/1,RepoArchived
https://github.com/juntossomosmais/regex4ocr,a140c62e01b378ef9fc334e66eaf3450da70feed,test_drm_scanner.py::test_scan_drms_folder,OD,Accepted,https://github.com/juntossomosmais/regex4ocr/pull/2,RepoArchived
https://github.com/kenkundert/engfmt,b908ef69aa7941e561019e24f969703f3234753b,test_quantity.py::test_number_recognition,NIO,Accepted,https://github.com/KenKundert/engfmt/pull/2,
https://github.com/kenkundert/engfmt,b908ef69aa7941e561019e24f969703f3234753b,test_text_processing.py::test_text_processing,NIO,Accepted,https://github.com/KenKundert/engfmt/pull/3,
https://github.com/mehdisadeghi/clashogram,6ea9eef543201f117749fa290df800c32eb18f54,test_everything.py::MessageFactoryTestCase::test_format_time_default,OD-Vic,Accepted,https://github.com/mehdisadeghi/clashogram/pull/32,
https://github.com/mrob95/Breathe,3ebcdfc9c011f1b64f00ae320f4704b78783f751,tests/test_loading.py::test_loading_failure,OD,Accepted,https://github.com/mrob95/Breathe/pull/10,
https://github.com/mtik00/yamicache,1109d08b18be94bdee55e113309f7be29f25d840,tests/test_noclass.py::test_main,NIO,Accepted,https://github.com/mtik00/yamicache/pull/10,
https://github.com/mtik00/yamicache,1109d08b18be94bdee55e113309f7be29f25d840,tests/test_serialization.py::test_serialization,NIO,Accepted,https://github.com/mtik00/yamicache/pull/14,
https://github.com/nithinmurali/pygsheets,b34fb501f9c5d85b31a66a6ee9cd8789c79fc7a6,tests/online_test.py::TestCell::test_link,NIO,Accepted,https://github.com/nithinmurali/pygsheets/pull/516,
https://github.com/nithinmurali/pygsheets,48158e3a2c20d8b84a28b117ae1024bd4dedee08,tests/online_test.py::TestCell::test_wrap_strategy,NIO,Accepted,https://github.com/nithinmurali/pygsheets/pull/517,
https://github.com/oskar456/dzonegit,8f952086aa41aee4ebb7432926ed8c6a9211ac9f,test_dzonegit.py::test_get_head,NIO,Accepted,https://github.com/oskar456/dzonegit/pull/19,
https://github.com/PolyJIT/benchbuild,2ab959e84fc9119813c46de1034ffaefc2ee391b,tests/integration/test_cli_slurm.py::test_slurm_command,NIO,Accepted,https://github.com/PolyJIT/benchbuild/pull/425,
https://github.com/pustotnik/zenmake,6cff05114cea34fc204d9e95422f11dc25cd1228,tests/test_waf_assist.py::testUsedWafTaskKeys,NIO,Accepted,https://github.com/pustotnik/zenmake/pull/29,
https://github.com/python-dugong/python-dugong,00dd4d5aab6eddb116cace2829a9f93bda153664,test/test_aio.py::test_aio_future,NIO,Accepted,https://github.com/python-dugong/python-dugong/pull/9,RepoArchived
https://github.com/raamana/pyradigm,01d47cf34a9af4bb104e2891559059a522221b4d,pyradigm/tests/test_BaseDataset_common_behaviours.py::test_sanity_checks,NIO,Accepted,https://github.com/raamana/pyradigm/pull/48,
https://github.com/raphaelvallat/pingouin,08560bb978949e97653b203f7374e90b022b88fb,pingouin/tests/test_regression.py::TestRegression::test_logistic_regression,OD-Vic,Accepted,https://github.com/raphaelvallat/pingouin/pull/303,
https://github.com/richecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py::TestSimpleGraph::test_add_vertex,OD,Accepted,https://github.com/richecr/PyGraph/pull/96,
https://github.com/richecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py::TestSimpleGraph::test_delete_vertex,OD,Accepted,https://github.com/richecr/PyGraph/pull/96,
https://github.com/richecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py::TestSimpleGraph::test_duplicated_edge,OD,Accepted,https://github.com/richecr/PyGraph/pull/96,
https://github.com/richecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py::TestSimpleGraph::test_false_cycle_graph,OD,Accepted,https://github.com/richecr/PyGraph/pull/96,
https://github.com/richecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py::TestSimpleGraph::test_false_regular_graph,OD,Accepted,https://github.com/richecr/PyGraph/pull/96,
https://github.com/richecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py::TestSimpleGraph::test_get_all_vertex,OD,Accepted,https://github.com/richecr/PyGraph/pull/96,
https://github.com/richecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py::TestSimpleGraph::test_is_terminal,OD,Accepted,https://github.com/richecr/PyGraph/pull/96,
https://github.com/richecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py::TestSimpleGraph::test_num_edges,OD,Accepted,https://github.com/richecr/PyGraph/pull/96,
https://github.com/richecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py::TestSimpleGraph::test_num_vertex,OD,Accepted,https://github.com/richecr/PyGraph/pull/96,
https://github.com/richecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py::TestSimpleGraph::test_true_regular_graph,OD,Accepted,https://github.com/richecr/PyGraph/pull/96,
https://github.com/richecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py::TestSimpleGraph::test_vertex_neighbors,OD,Accepted,https://github.com/richecr/PyGraph/pull/96,
https://github.com/Samreay/ChainConsumer,5606696525d91f11d8093085934fa352b98ce97c,tests/test_analysis.py::test_summary_power,NOD,Accepted,https://github.com/Samreay/ChainConsumer/pull/86,
https://github.com/seanbreckenridge/keepassxc-pwned,aead83c1749b62006a28526905d8fee5cd2ae902,tests/test_user_input.py::test_user_input_password_not_found,NIO,Accepted,https://github.com/seanbreckenridge/keepassxc-pwned/pull/18,RepoArchived
https://github.com/spulec/freezegun,b46da782a7a051081fd51577749cfc0074db0cc6,tests/test_class_import.py::test_import_after_start,NIO,Accepted,https://github.com/spulec/freezegun/pull/407,
https://github.com/stfc/fparser,4be91d2e1078fa5588e84a3299131f297afba675,src/fparser/one/tests/test_parsefortran.py::test_log_cache,NIO,Accepted,https://github.com/stfc/fparser/pull/299,
https://github.com/stfc/fparser,4be91d2e1078fa5588e84a3299131f297afba675,src/fparser/one/tests/test_parsefortran.py::test_log_empty,NIO,Accepted,https://github.com/stfc/fparser/pull/300,
https://github.com/stfc/fparser,4be91d2e1078fa5588e84a3299131f297afba675,src/fparser/one/tests/test_parsefortran.py::test_log_failure,NIO,Accepted,https://github.com/stfc/fparser/pull/300,
https://github.com/teamhide/pythondi,913e6a60fc5d02c3db385ad322f970ecec36969b,tests/test_configure.py::test_configure,NIO,Accepted,https://github.com/teamhide/pythondi/pull/23,
https://github.com/thundra-io/thundra-lambda-agent-python,fcd1c2b0b309721d89bd35511bd6645ebd62a5bc,tests/plugins/log/test_log_plugin.py::test_log_plugin_with_initialization,NIO,Accepted,https://github.com/thundra-io/thundra-agent-python/pull/169,RepoArchived
https://github.com/wilfredinni/coo,da9e75d46ed65599cd2223b029ac30c08496a80b,tests/test_coo.py::test_schedule_time_zone_media,NIO,Accepted,https://github.com/wilfredinni/coo/pull/1,RepoArchived
https://github.com/xlcnd/isbnlib,4dd24ceb7b686e78ee872d667014c6b3935b718c,isbnlib/test/test_cache.py::test_cache_del,NIO,Accepted,https://github.com/xlcnd/isbnlib/pull/100,
https://github.com/Zabamund/wellpathpy,f29b14a9a1c46e77ea98b141e3cdc43674654ea2,wellpathpy/test/test_location.py::test_zero,NIO,Accepted,https://github.com/Zabamund/wellpathpy/pull/50,
https://github.com/zerotosingularity/pdl,cb22f929bddb51d8db16a4efede5ceaaf6fcd906,tests/test_pdl.py::pdl_test_helper,NIO,Accepted,https://github.com/zerotosingularity/pdl/pull/6,
